date,count,package,cum_count
2022-04-23,6,mikropml,8060
2022-04-24,11,mikropml,8071
2022-04-25,12,mikropml,8083
2022-04-26,11,mikropml,8094
2022-04-27,37,mikropml,8131
2022-04-28,10,mikropml,8141
2022-04-29,18,mikropml,8159
2022-04-30,13,mikropml,8172
2022-05-01,4,mikropml,8176
2022-05-02,24,mikropml,8200
2022-05-03,11,mikropml,8211
2022-05-04,32,mikropml,8243
2022-05-05,9,mikropml,8252
2022-05-06,18,mikropml,8270
2022-05-07,7,mikropml,8277
2022-05-08,14,mikropml,8291
2022-05-09,4,mikropml,8295
2022-05-10,14,mikropml,8309
2022-05-11,26,mikropml,8335
2022-05-12,26,mikropml,8361
2022-05-13,6,mikropml,8367
2022-05-14,10,mikropml,8377
2022-05-15,5,mikropml,8382
2022-05-16,20,mikropml,8402
2022-05-17,9,mikropml,8411
2022-05-18,26,mikropml,8437
2022-05-19,19,mikropml,8456
2022-05-20,13,mikropml,8469
2022-05-21,8,mikropml,8477
2022-05-22,32,mikropml,8509
2022-05-23,20,mikropml,8529
2022-05-24,23,mikropml,8552
2022-05-25,62,mikropml,8614
2022-05-26,15,mikropml,8629
2022-05-27,31,mikropml,8660
2022-05-28,8,mikropml,8668
2022-05-29,16,mikropml,8684
2022-05-30,5,mikropml,8689
2022-05-31,20,mikropml,8709
2022-06-01,36,mikropml,8745
2022-06-02,17,mikropml,8762
2022-06-03,8,mikropml,8770
2022-06-04,14,mikropml,8784
2022-06-05,0,mikropml,8784
2022-06-06,17,mikropml,8801
2022-06-07,5,mikropml,8806
2022-06-08,32,mikropml,8838
2022-06-09,8,mikropml,8846
2022-06-10,4,mikropml,8850
2022-06-11,13,mikropml,8863
2022-06-12,2,mikropml,8865
2022-06-13,15,mikropml,8880
2022-06-14,36,mikropml,8916
2022-06-15,25,mikropml,8941
2022-06-16,10,mikropml,8951
2022-06-17,7,mikropml,8958
2022-06-18,5,mikropml,8963
2022-06-19,3,mikropml,8966
2022-06-20,11,mikropml,8977
2022-06-21,7,mikropml,8984
2022-06-22,19,mikropml,9003
2022-06-23,8,mikropml,9011
2022-06-24,16,mikropml,9027
2022-06-25,3,mikropml,9030
2022-06-26,7,mikropml,9037
2022-06-27,13,mikropml,9050
2022-06-28,12,mikropml,9062
2022-06-29,27,mikropml,9089
2022-06-30,14,mikropml,9103
2022-07-01,9,mikropml,9112
2022-07-02,3,mikropml,9115
2022-07-03,25,mikropml,9140
2022-07-04,9,mikropml,9149
2022-07-05,6,mikropml,9155
2022-07-06,37,mikropml,9192
2022-07-07,3,mikropml,9195
2022-07-08,14,mikropml,9209
2022-07-09,13,mikropml,9222
2022-07-10,9,mikropml,9231
2022-07-11,9,mikropml,9240
2022-07-12,14,mikropml,9254
2022-07-13,22,mikropml,9276
2022-07-14,13,mikropml,9289
2022-07-15,18,mikropml,9307
2022-07-16,15,mikropml,9322
2022-07-17,9,mikropml,9331
2022-07-18,15,mikropml,9346
2022-07-19,2,mikropml,9348
2022-07-20,23,mikropml,9371
2022-07-21,13,mikropml,9384
2022-07-22,4,mikropml,9388
2022-07-23,3,mikropml,9391
2022-07-24,15,mikropml,9406
2022-07-25,10,mikropml,9416
2022-07-26,10,mikropml,9426
2022-07-27,40,mikropml,9466
2022-07-28,6,mikropml,9472
2022-07-29,8,mikropml,9480
2022-07-30,14,mikropml,9494
2022-07-31,15,mikropml,9509
2022-08-01,3,mikropml,9512
2022-08-02,6,mikropml,9518
2022-08-03,31,mikropml,9549
2022-08-04,8,mikropml,9557
2022-08-05,8,mikropml,9565
2022-08-06,11,mikropml,9576
2022-08-07,2,mikropml,9578
2022-08-08,1,mikropml,9579
2022-08-09,19,mikropml,9598
2022-08-10,14,mikropml,9612
2022-08-11,20,mikropml,9632
2022-08-12,14,mikropml,9646
2022-08-13,4,mikropml,9650
2022-08-14,5,mikropml,9655
2022-08-15,17,mikropml,9672
2022-08-16,4,mikropml,9676
2022-08-17,21,mikropml,9697
2022-08-18,14,mikropml,9711
2022-08-19,3,mikropml,9714
2022-08-20,2,mikropml,9716
2022-08-21,12,mikropml,9728
2022-08-22,4,mikropml,9732
2022-08-23,11,mikropml,9743
2022-08-24,31,mikropml,9774
2022-08-25,7,mikropml,9781
2022-08-26,4,mikropml,9785
2022-08-27,13,mikropml,9798
2022-08-28,6,mikropml,9804
2022-08-29,5,mikropml,9809
2022-08-30,15,mikropml,9824
2022-08-31,19,mikropml,9843
2022-09-01,8,mikropml,9851
2022-09-02,13,mikropml,9864
2022-09-03,2,mikropml,9866
2022-09-04,2,mikropml,9868
2022-09-05,12,mikropml,9880
2022-09-06,6,mikropml,9886
2022-09-07,5,mikropml,9891
2022-09-08,36,mikropml,9927
2022-09-09,4,mikropml,9931
2022-09-10,6,mikropml,9937
2022-09-11,17,mikropml,9954
2022-09-12,9,mikropml,9963
2022-09-13,11,mikropml,9974
2022-09-14,33,mikropml,10007
2022-09-15,6,mikropml,10013
2022-09-16,6,mikropml,10019
2022-09-17,8,mikropml,10027
2022-09-18,4,mikropml,10031
2022-09-19,2,mikropml,10033
2022-09-20,12,mikropml,10045
2022-09-21,9,mikropml,10054
2022-09-22,7,mikropml,10061
2022-09-23,18,mikropml,10079
2022-09-24,1,mikropml,10080
2022-09-25,10,mikropml,10090
2022-09-26,17,mikropml,10107
2022-09-27,12,mikropml,10119
2022-09-28,4,mikropml,10123
2022-09-29,12,mikropml,10135
2022-09-30,13,mikropml,10148
2022-10-01,2,mikropml,10150
2022-10-02,12,mikropml,10162
2022-10-03,11,mikropml,10173
2022-10-04,9,mikropml,10182
2022-10-05,13,mikropml,10195
2022-10-06,12,mikropml,10207
2022-10-07,14,mikropml,10221
2022-10-08,13,mikropml,10234
2022-10-09,6,mikropml,10240
